credit_group,scope,age,credited_performer_years,retained_performer_years,forward_continuity_rate,baseline_rate,normalized_continuity
women-coded,overall,42,4481,3713,0.828609685338094,0.821556242440532,1.00858546564823
women-coded,overall,43,4260,3528,0.828169014084507,0.821556242440532,1.00804907966414
women-coded,overall,44,4124,3427,0.830989330746848,0.821556242440532,1.01148197508462
women-coded,overall,45,3906,3248,0.831541218637993,0.821556242440532,1.01215373419572
women-coded,overall,46,3699,3099,0.83779399837794,0.821556242440532,1.0197646309511
women-coded,overall,47,3445,2889,0.838606676342525,0.821556242440532,1.02075382429247
women-coded,overall,48,3292,2760,0.838396111786148,0.821556242440532,1.02049752466805
women-coded,overall,49,3079,2568,0.83403702500812,0.821556242440532,1.01519163500056
women-coded,overall,50,2848,2364,0.830056179775281,0.821556242440532,1.01034614174375
women-coded,overall,51,2762,2307,0.835264301230992,0.821556242440532,1.01668547822087
women-coded,overall,52,2658,2170,0.81640331075997,0.821556242440532,0.993727840634191
women-coded,overall,53,2514,2088,0.83054892601432,0.821556242440532,1.01094591351053
women-coded,overall,54,2395,1971,0.822964509394572,0.821556242440532,1.00171414552199
women-coded,overall,55,2275,1846,0.811428571428571,0.821556242440532,0.987672577373552
women-coded,overall,56,2113,1701,0.805016564126834,0.821556242440532,0.979867868492405
women-coded,overall,57,2052,1663,0.810428849902534,0.821556242440532,0.986455714212648
women-coded,overall,58,1860,1523,0.818817204301075,0.821556242440532,0.996666036969885
women-coded,overall,59,1788,1448,0.809843400447427,0.821556242440532,0.985743103894737
women-coded,overall,60,1617,1289,0.797155225726654,0.821556242440532,0.970299030725649
women-coded,overall,61,1639,1313,0.801098230628432,0.821556242440532,0.975098464651273
women-coded,overall,62,1487,1169,0.786146603900471,0.821556242440532,0.956899312900511
women-coded,overall,63,1463,1151,0.78673957621326,0.821556242440532,0.957621080056741
women-coded,overall,64,1343,1068,0.795234549516009,0.821556242440532,0.967961179570212
women-coded,overall,65,1358,1079,0.794550810014728,0.821556242440532,0.967128930399723
women-coded,overall,66,1231,964,0.783103168155971,0.821556242440532,0.953194836460214
women-coded,overall,67,1127,904,0.802129547471162,0.821556242440532,0.976353785698639
women-coded,overall,68,1081,839,0.776133209990749,0.821556242440532,0.944710988605177
women-coded,overall,69,982,755,0.768839103869654,0.821556242440532,0.935832587171055
women-coded,overall,70,944,719,0.761652542372881,0.821556242440532,0.927085089281655
women-coded,overall,71,845,645,0.763313609467456,0.821556242440532,0.929106943670637
women-coded,overall,72,844,620,0.734597156398104,0.821556242440532,0.894153216115667
women-coded,overall,73,758,562,0.741424802110818,0.821556242440532,0.902463840951809
women-coded,overall,74,661,474,0.717095310136157,0.821556242440532,0.872849931741665
women-coded,overall,75,621,469,0.755233494363929,0.821556242440532,0.919271810436759
men-coded,television,18,1502,1176,0.782956058588549,0.797735259664194,0.981473551661905
men-coded,television,19,1778,1354,0.761529808773903,0.797735259664194,0.954614703999005
men-coded,television,20,2059,1577,0.765905779504614,0.797735259664194,0.960100196432362
men-coded,television,21,2413,1865,0.772896808951513,0.797735259664194,0.968863792327373
men-coded,television,22,2884,2243,0.777739251040222,0.797735259664194,0.974934029326485
men-coded,television,23,3334,2560,0.767846430713857,0.797735259664194,0.962532897238467
men-coded,television,24,3870,3026,0.781912144702842,0.797735259664194,0.980164954764552
men-coded,television,25,4406,3444,0.781661370857921,0.797735259664194,0.979850597536532
men-coded,television,26,4751,3777,0.79499052830983,0.797735259664194,0.996559345570961
men-coded,television,27,5122,4063,0.79324482623975,0.797735259664194,0.994371023005384
men-coded,television,28,5466,4285,0.783937065495792,0.797735259664194,0.982703291598005
men-coded,television,29,5645,4487,0.794862710363153,0.797735259664194,0.996399119549699
men-coded,television,30,5931,4702,0.792783678974878,0.797735259664194,0.993792952449663
men-coded,television,31,6079,4834,0.795196578384603,0.797735259664194,0.996817639374923
men-coded,television,32,6130,4929,0.804078303425775,0.797735259664194,1.00795131427969
men-coded,television,33,6335,5017,0.791949486977111,0.797735259664194,0.992747252152904
