credit_group,scope,age,performer_years,performers_at_risk,role_years,roles,opportunity_rate,mean_roles,baseline_rate,normalized_retention
women-coded,film,46,6709,6709,1612,2345,0.240274258458787,0.349530481442838,0.254360442740806,0.944621167779721
women-coded,film,47,6297,6297,1515,2198,0.240590757503573,0.349055105605844,0.254360442740806,0.945865461276682
women-coded,film,48,5971,5971,1437,2054,0.240663205493217,0.343995980572768,0.254360442740806,0.946150285398166
women-coded,film,49,5672,5672,1338,1940,0.23589562764457,0.342031029619182,0.254360442740806,0.927406891978673
women-coded,film,50,5413,5413,1276,1815,0.235728801034546,0.335303898023277,0.254360442740806,0.926751025019857
women-coded,film,51,5111,5111,1283,1794,0.251027196243397,0.351007630600665,0.254360442740806,0.986895578331707
women-coded,film,52,4873,4873,1139,1679,0.23373691770983,0.344551610917299,0.254360442740806,0.918920077317244
women-coded,film,53,4691,4691,1124,1655,0.239607759539544,0.352803240247282,0.254360442740806,0.942000874655282
women-coded,film,54,4478,4478,1062,1563,0.237159446181331,0.349039749888343,0.254360442740806,0.932375504720273
women-coded,film,55,4243,4243,962,1395,0.226726372849399,0.328776808861655,0.254360442740806,0.891358618527151
women-coded,film,56,4037,4037,929,1347,0.230121377260342,0.333663611592767,0.254360442740806,0.90470583704258
women-coded,film,57,3818,3818,917,1264,0.240178103719225,0.331063383970665,0.254360442740806,0.944243142256074
women-coded,film,58,3681,3681,810,1132,0.220048899755501,0.307525129041021,0.254360442740806,0.86510660771153
women-coded,film,59,3526,3526,786,1130,0.222915484968803,0.320476460578559,0.254360442740806,0.876376383712915
women-coded,film,60,3359,3359,727,1033,0.216433462339982,0.307532003572492,0.254360442740806,0.85089277250759
women-coded,film,61,3187,3187,725,1003,0.227486664574835,0.314716033887669,0.254360442740806,0.89434765140209
women-coded,film,62,3069,3069,623,888,0.202997719126751,0.289345063538612,0.254360442740806,0.798071103114122
women-coded,film,63,2916,2916,656,942,0.224965706447188,0.323045267489712,0.254360442740806,0.884436683719838
women-coded,film,64,2733,2733,554,804,0.202707647274058,0.294182217343578,0.254360442740806,0.796930706244358
women-coded,film,65,2638,2638,581,800,0.220242608036391,0.303260045489007,0.254360442740806,0.865868158048535
women-coded,film,66,2503,2503,517,735,0.206552137435078,0.293647622852577,0.254360442740806,0.81204504603554
women-coded,film,67,2358,2358,493,694,0.209075487701442,0.29431721798134,0.254360442740806,0.821965418241116
women-coded,film,68,2249,2249,489,663,0.217429968875056,0.294797687861272,0.254360442740806,0.854810467115823
women-coded,film,69,2153,2153,420,580,0.195076637250348,0.269391546679052,0.254360442740806,0.766929932769193
women-coded,film,70,2073,2073,390,533,0.188133140376266,0.257115291847564,0.254360442740806,0.739632068371475
women-coded,film,71,1964,1964,373,496,0.189918533604888,0.252545824847251,0.254360442740806,0.746651214939171
women-coded,film,72,1851,1851,340,463,0.183684494867639,0.250135062128579,0.254360442740806,0.722142534776189
women-coded,film,73,1760,1760,342,453,0.194318181818182,0.257386363636364,0.254360442740806,0.763948119150716
women-coded,film,74,1666,1666,281,373,0.168667466986795,0.223889555822329,0.254360442740806,0.663104157114035
women-coded,film,75,1606,1606,283,383,0.176214196762142,0.238480697384807,0.254360442740806,0.692773588783634
women-coded,film,76,1503,1503,243,311,0.161676646706587,0.206919494344644,0.254360442740806,0.63562024410901
women-coded,film,77,1408,1408,209,279,0.1484375,0.198153409090909,0.254360442740806,0.583571479906797
women-coded,film,78,1284,1284,213,269,0.16588785046729,0.209501557632399,0.254360442740806,0.65217629235034
